Amount,Unit,Ingredient
1,,chicken breast
1,,onion
2,clove,garlic
1,tsp,cinnamon
3,,bay leaf
0.25,tsp,black pepper
2,,bullion cube
3,cup,chicken broth
0.5,cup,tomato paste
3,cup,rice
